step,t_step_start,step_time,completion_ratio,node_throughput,node_id
0,0.0,95767236.0,1.0,10.441984563488916,0
0,0.0,95767236.0,1.0,10.441984563488916,1
0,0.0,95767236.0,1.0,10.441984563488916,2
0,0.0,95767236.0,1.0,10.441984563488916,3
1,95767236.0,95767236.0,1.0,10.441984563488916,0
1,95767236.0,95767236.0,1.0,10.441984563488916,1
1,95767236.0,95767236.0,1.0,10.441984563488916,2
1,95767236.0,95767236.0,1.0,10.441984563488916,3
2,191534472.0,95767236.0,1.0,10.441984563488916,0
2,191534472.0,95767236.0,1.0,10.441984563488916,1
2,191534472.0,95767236.0,1.0,10.441984563488916,2
2,191534472.0,95767236.0,1.0,10.441984563488916,3
3,287301708.0,95767236.0,1.0,10.441984563488916,0
3,287301708.0,95767236.0,1.0,10.441984563488916,1
3,287301708.0,95767236.0,1.0,10.441984563488916,2
3,287301708.0,95767236.0,1.0,10.441984563488916,3
4,383068944.0,95767236.0,1.0,10.441984563488916,0
4,383068944.0,95767236.0,1.0,10.441984563488916,1
4,383068944.0,95767236.0,1.0,10.441984563488916,2
4,383068944.0,95767236.0,1.0,10.441984563488916,3
5,478836180.0,143650854.0,0.6666666666666666,0.0,0
5,478836180.0,143650854.0,0.6666666666666666,6.961323042325944,1
5,478836180.0,143650854.0,0.6666666666666666,6.961323042325944,2
5,478836180.0,143650854.0,0.6666666666666666,6.961323042325944,3
6,622487034.0,95767236.0,1.0,10.441984563488916,0
6,622487034.0,95767236.0,1.0,10.441984563488916,1
6,622487034.0,95767236.0,1.0,10.441984563488916,2
6,622487034.0,95767236.0,1.0,10.441984563488916,3
7,718254270.0,95767236.0,1.0,10.441984563488916,0
7,718254270.0,95767236.0,1.0,10.441984563488916,1
7,718254270.0,95767236.0,1.0,10.441984563488916,2
7,718254270.0,95767236.0,1.0,10.441984563488916,3
8,814021506.0,95767236.0,1.0,10.441984563488916,0
8,814021506.0,95767236.0,1.0,10.441984563488916,1
8,814021506.0,95767236.0,1.0,10.441984563488916,2
8,814021506.0,95767236.0,1.0,10.441984563488916,3
9,909788742.0,95767236.0,1.0,10.441984563488916,0
9,909788742.0,95767236.0,1.0,10.441984563488916,1
9,909788742.0,95767236.0,1.0,10.441984563488916,2
9,909788742.0,95767236.0,1.0,10.441984563488916,3
